"Company Name";"Contact Person";"Location";"Country";"Phone Number";"Email";"Services Offered";"Fleet Details";"License Information";"Insurance Details";"Operating Hours";"Employee Details";"Safety Procedures"
"Jakubowski - Dach";"Dr. Leland Mueller";"Antonioshire";"Mexico";"+1 (345) 665-9404";"Nichole.Boyle53@yahoo.com";"Computers";"15664";"Porsche Model 3";"41c6e2a3-ea8e-45ae-b78e-fa1a3d4a13c3";"Jan 9th 24";"Lindgren, Langworth and Schaefer";"Hybrid"
"Schuster - Crona";"Minnie Hodkiewicz";"New Craigfield";"Kyrgyz Republic";"+1 (080) 782-2296";"Ron.Dare@yahoo.com";"Grocery";"6079";"BMW LeBaron";"6050a375-6a65-43e9-b172-20c6aecdd0e9";"Mar 9th 24";"Christiansen - Rolfson";"Gasoline"
"Hudson Group";"Lillie Kulas Sr.";"Luettgenstad";"Reunion";"+1 (500) 950-6765";"Shane91@gmail.com";"Shoes";"637";"Toyota Model Y";"bf275ce1-972e-4f77-b2b7-1f34f685b536";"Mar 27th 24";"Treutel, Jenkins and Rohan";"Gasoline"
"Beahan Inc";"Alex Sipes";"Tyshawnton";"Panama";"+1 (214) 612-0500";"Celia13@hotmail.com";"Kids";"20668";"Aston Martin 911";"55aef74b-3894-47bf-8106-24951c5862fa";"Jan 31st 24";"Swift, Wilderman and Rice";"Gasoline"
"Keeling, Mertz and Daugherty";"Dr. Raymond Hahn Jr.";"Fort Arvidfield";"Nicaragua";"+1 (430) 782-5476";"Desiree44@gmail.com";"Clothing";"3826";"Fiat Model S";"1acd8d6c-26f0-4f47-b26a-04a564f33c7e";"Feb 25th 24";"Schiller and Sons";"Gasoline"
"Klein, Waters and Dooley";"Walter Block";"Littlestead";"Pakistan";"+1 (230) 924-9096";"Claude_Fay82@hotmail.com";"Baby";"491";"Kia Model 3";"0ebab082-454b-454d-8eb9-d54e0de6b8fe";"Feb 14th 24";"Pagac, Kling and Adams";"Gasoline"
"Fisher - Upton";"Marc Lebsack";"Somerville";"Oman";"+1 (086) 762-7153";"Faye_Mohr-Halvorson@hotmail.com";"Health";"84046";"Aston Martin Model X";"0f228459-3aec-43dc-9e2e-3475624ffbe6";"Feb 1st 24";"Gutkowski - Ratke";"Gasoline"
"Bins - Lueilwitz";"Clark Bergnaum";"North Wava";"Panama";"+1 (513) 753-7894";"Muriel82@yahoo.com";"Sports";"504";"Volkswagen 911";"ce68e222-e935-404d-bd8c-34b2c16c943d";"Mar 27th 24";"Kling, Howe and Zulauf";"Hybrid"
"McLaughlin and Sons";"Micheal Sporer";"Port Tiara";"Isle of Man";"+1 (231) 376-8752";"Orville.Fahey48@gmail.com";"Sports";"852";"Porsche Model Y";"0f697a0b-4e4c-433a-9fc2-5f15f628ca5d";"Jan 19th 24";"Kutch, O'Kon and DuBuque";"Diesel"
"Nolan Group";"Dr. Tommie Ondricka-Wisoky";"Turnerport";"Guinea-Bissau";"+1 (468) 249-0198";"Hannah28@hotmail.com";"Jewelery";"656";"Audi Mustang";"2f7690d3-7337-4bf8-ae34-4a518b923f8b";"Mar 14th 24";"Monahan, Fahey and O'Conner";"Electric"
"Bogan, Tremblay and Dibbert";"Connie Kertzmann";"South Curtport";"Panama";"+1 (437) 817-0246";"Archie.Hermann16@yahoo.com";"Automotive";"39321";"Porsche Model Y";"632ab18c-0b45-410e-84c5-0eb727a1d845";"Mar 29th 24";"Graham - Rodriguez";"Hybrid"
"Wiegand - Parker";"Timmy Braun";"Jennyferfurt";"Christmas Island";"+1 (069) 968-6253";"Marc_Halvorson93@yahoo.com";"Shoes";"1439";"Land Rover Mustang";"ccbe0ad5-a24d-4e79-b501-3a31fdb0b4c2";"Jan 8th 24";"Reichert LLC";"Hybrid"
